,title,hits
111,포켓몬스터스칼렛・바이올렛 TVCM 1,3455313
170,포켓몬스터스칼렛・바이올렛 TVCM 2,3323360
136,시작할 때 버그 써서 전설 먼저 만나러 가면 벌어지는 일ㅋㅋㅋㅋ [포켓몬 스칼렛 바이올렛],1724274
148,9세대 전설 포켓몬과 함께 떠나는 새로운 팔데아지방 모험 [포켓몬스터 스칼렛 바이올렛 1화],822007
528,[포켓몬] 어디까지 가능하세요?,770691
56,9세대에서만 가능한 특수 진화 포켓몬들 [포켓몬스터 스칼렛 바이올렛 6화],759479
60,팔데아 도감 완성하고 모든 패러독스 이로치 잡기 도전! [포켓몬스터 스칼렛 바이올렛 14화],706189
58,팔데아 지방에 봉인된 사악한 9세대 전설 포켓몬들 [포켓몬스터 스칼렛 바이올렛 7화],699220
79,1레벨 포켓몬으로 팔데아지방 챔피언 도전! 바이올렛 전설 미라이돈 [포켓몬스터 스칼렛 바이올렛 12화],684798
99,첫 패러독스 포켓몬 위대한엄니! 모으령 코인 다 모으고 진화시키기 [포켓몬스터 스칼렛 바이올렛 4화],676853
137,신규 9세대 600족 드닐레이브 만들기! 첫 스타팅 최종진화 [포켓몬스터 스칼렛 바이올렛 3화],665546
70,꼰대 vs 놀부 할아버지! 이제는 스칼렛/바이올렛 버전으로 대결!! (꼰&잼) - [전자오랏맨],651127
346,신작 스타팅 포켓몬 진화를 예상해보자,640057
145,뭐?? 요즘 포켓몬은 동굴에서 공중날기가 된다고?? 포켓몬스터 스칼렛/바이올렛 버전 꼰&잼 반응 - [전자오랏맨],602451
81,🔥닌텐도 대규모 신작! 포켓몬스터 스칼렛＆바이올렛 밤새도록 했습니다!,580954
119,"새로운 6성, 최강 7성 레이드! 바이올렛에서만 진화하는 파라블레이즈 [포켓몬스터 스칼렛 바이올렛 10화]",580855
218,뭐?? 성원숭이 진화체가 생겼다고??(포켓몬스터 스칼렛/바이올렛 새로운 진화체 꼰&잼 반응) - [전자오랏맨],546213
8,"학교 최강 선발대회 시작! 9세대 모든 신규기술, 전용기 총 출동! [포켓몬스터 스칼렛 바이올렛 13화]",531079
477,팔데아 400종 포획장소와 진화방법 / 포켓몬스터 스칼렛 바이올렛,507359
187,뭐? 요즘 스타팅 포켓몬은 춤추는 오리? 해골 악어?? 도둑 고양이라고?? 포켓몬스터 스칼렛/바이올렛 스타팅 포켓몬 꼰&잼 반응 - [전자오랏맨],504599
343,"새로운 전설의 포켓몬! 코라이돈, 미라이돈 공개! (포켓몬스터 스칼렛/바이올렛 버전 신정보 총정리) - [전자오랏맨]",500115
97,3세대 포켓몬의 말뚝쌤! vs 4세대 포켓몬의 덕후가 대결하는 명승부!! 과연 그 승자는?? (꼰&잼)- [전자오랏맨],498334
271,흔한 탈것 포켓몬인줄 알았는데?? 초전설로 진화한다고?? 포켓몬스터 스칼렛/바이올렛 버전의 새로운 포켓몬 모토마와 새로운 배틀 정보 공개! - [전자오랏맨],494815
432,9세대 포켓몬 완전 신작! 포켓몬스터 스칼렛/바이올렛 버전 정보 총정리 - [전자오랏맨],468406
574,尹 부친상 조문 노사연에…개딸들 “제 정신이냐” 공격 | 뉴스TOP 10,464310
364,줄 때 꼭! 받자.. 팔데아 지방에서 못잡는 포켓몬 받는 방법!,427930
128,9세대 신규 특성 포켓몬들 [포켓몬스터 스칼렛 바이올렛 11화],424693
25,여러분들이 선택한 미라이돈과 뜨아거! 겜브링의 스칼렛&바이올렛 지금부터 시작 하겠습니다~,417651
147,코라이돈 미라이돈이 울트라레어로?! 이건 못 참지! 스칼렛 바이올렛 신상 카드깡!,411003
444,아내가 닌텐도 스위치 사왔습니다 - 홍꾸커플,407744
53,새로운 패러독스 포켓몬 굽이치는물결과 무쇠잎새 [포켓몬스터 스칼렛 바이올렛 16화],402808
374,최근 난리난 포켓몬 개웃긴 버그 모음ㅋㅋㅋㅋ,372798
105,8세대 마지막 카드팩들과 신규 9세대 카드팩 뽑기 [포켓몬 카드],364394
172,포켓몬 9세대 바이올렛 모든 600족 잡아서 진화시키기!! 너무 멋진데!?? 용군단으로 체육관 완벽격파까지!!!!(포켓몬 바이올렛 6화),352575
203,꼰대 vs 놀부! 이번에는 스칼렛/바이올렛 버전 속 포켓몬 퀴즈 대결!! (꼰&잼) - [전자오랏맨],350357
552,【倫理崩壊】人道から外れたバスラオ孵化厳選のやり方【ポケモンSV】【スカーレット・バイオレット】【うさごん】,349236
485,얘네가 같은 포켓몬이 아니라고? 3탄 #shorts,347495
45,리자몽 나온지 벌써 30년 다 됐다고? 개굴닌자는 나온지 벌써 10년차?? 포켓몬 세대차이편! (꼰&잼) - [전자오랏맨],346155
69,코라이돈 뽑았다 !! 미라이돈도... 스칼렛 바이올렛 ex 카드깡 !! 금손 VS 똥손 대결,343948
395,스칼렛&바이올렛 까줘야징~~ㅋㅋㅋ,332528
171,1세대 포켓몬 망키의 신규 최종진화!! 저승갓숭이 떴다!! 그리고 불타입 스타팅 뜨아거의 최종진화 까지!?? (포켓몬 바이올렛 4화)(9세대),332062
9,7성 최강 개굴닌자 등장! 모든 지방 이스터에그 살펴보기 [포켓몬스터 스칼렛 바이올렛 15화],313572
435,지우 없는 포켓몬 애니 드디어 1화 선행 공개! 시작부터 굴욕당한 주인공 리코! [포켓몬스터 2023 1화 프리뷰 분석리뷰],300776
133,포켓몬 스칼렛 바이올렛에서 마스터볼을 꺼내면 생기는 일,290817
91,여러분들의 도움이 필요합니다..! 소중한 한 표 부탁드립니다 - 포켓몬스터 스칼렛·바이올렛 - 겜브링(GGAMBRING),289560
254,[공식]「포켓몬스터스칼렛・바이올렛」 3rd Trailer 소개 영상,284494
202,포켓몬 9세대 마지막 정보가 풀렸다!? 찾아봤더니.... 최강의 테라스탈 리자몽 너무 멋있는데요!?? (포켓몬 스칼렛 바이올렛),282144
98,포켓몬 역대 최고의 명작 탄생?? 아니면 역대 최악의 망겜?? 포켓몬스터 스칼렛/바이올렛 버전 리뷰 - [전자오랏맨],271292
249,6성 레이드를 솔플 해버리는 배북 마릴리 만드는법!! [포켓몬스터 스칼렛 바이올렛],256069
579,"사망 소식 듣고도 ""거짓말 말라""…직접 장례식장 찾아간 학부모는 급기야 #뉴스다 / JTBC News",255418
227,역대 최고 임팩트 라이벌과 함께하는 챔피언 로드 스토리 :: [포켓몬스터 바이올렛],241992
396,카르본 위치와 카디나르마 파라블레이드 진화 방법 / 포켓몬스터 스칼렛 바이올렛,239089
411,9세대 풀 스타팅 포켓몬 최종 진화 / 포켓몬스터 스칼렛바이올렛 #shorts,234857
121,미래에서온 포켓몬들 이로치가 떠버렸다!!!! 훨씬 더 로봇스러워져서 멋있는데!!??(포켓몬 바이올렛 12화),234820
2,9세대 포켓몬홈 연동 시작! 달라진 전용기 총 출동! [포켓몬스터 스칼렛 바이올렛 17화],232533
198,이로치 개구마르 알까기 성공!! 바로 이로치 개굴닌자로 진화시켰더니 ㄷㄷ;; 포스 뭐야!! (포켓몬 스칼렛바이올렛),229162
217,|포켓몬 스칼렛·바이올렛| 9세대 신규 포켓몬 추천 & 빠른 진화 핵꿀팁 🍯,228369
162,포켓몬스터 스칼렛/바이올렛 버전 현재까지 공개된 정보 총정리 - [전자오랏맨],225945
13,포켓몬스터 스칼렛 바이올렛이 역대급인 이유 | 솔직 후기 & 리뷰,225563
236,게임에도 안 나온 전설의 포켓몬을 만난 리코! 10만볼트 버리고 기술배치 싹 다 바꾼 피카츄!! 그런데 나오하랑 왜 헤어졌어요? [포켓몬스터2023 2화 분석리뷰],220118
272,역대급으로 강한 최강의 개굴닌자가 9세대에 떴다!!! 7성 레이드 도전!! 엄청 멋있는데!? (포켓몬 최강의 개굴닌자),219840
350,포켓몬이 크리스탈이 된다고?? 포켓몬스터 스칼렛/바이올렛 버전 신정보 총정리! - [전자오랏맨],218507
6,실전 배틀 사기 포켓몬 TOP 10 (스칼렛/바이올렛 버전)- [전자오랏맨],216964
163,이로치가 하루에 한 마리? 아니! 하루에 4마리까지?? 색이 다른 포켓몬 대량 포획 총정리 (포켓몬스터 스칼렛/바이올렛 버전)- [전자오랏맨],215630
420,포켓몬 스칼렛/바이올렛의 숨겨진 꿀팁?!,215306
297,패러독스 미래폼! 뭔 이로치가 3시간만에 다 뜨냐? 포획의 순간! l 포켓몬스터 스칼렛 바이올렛 이로치 헌팅,210279
341,신작 포켓몬게임 그동안 몰래 잡던 이로치들 대 공개?! 포켓몬엔 진심인 태경 ㄷㄷ (포켓몬스터 스칼렛 바이올렛),209378
144,[공식]「포켓몬스터스칼렛・바이올렛」 Final Trailer | Ed Sheeran - Celestial,207470
210,뭐?? 라이코가 목이 길어졌다고?? 포켓몬스터 스칼렛/바이올렛 DLC 제로의 비보 추가 정보 공개! - [전자오랏맨],207116
139,왜 나의 귀여운 친구들이 항상 이상하게 변하는거야?,206820
342,포켓몬스터 스칼렛 바이올렛 #1,205034
248,포켓몬 스칼렛 바이올렛에서 하루만 출현하는 희귀포켓몬,204572
123,드디어 진화에 성공한 밥솥ㅇ...? 이 대머리는 누..구..세요..??????,204170
479,"사흉수를 모티브한 9세대 준전설 모든 공략 (말뚝위치, 잡는조건, 사당장소 해금, 잡는법) [포켓몬스터 스칼렛 바이올렛] 총지엔, 파오젠, 딩루, 위유이]",200577
336,"버그없이 쉽게 돈버는 방법 [포켓몬 스칼렛·바이올렛, 환웅랜드]",195733
259,준전설 파오젠 사당 위치와 말뚝 위치 / 포켓몬스터 스칼렛 바이올렛,195143
461,드디어 팔데아로 출발! 오픈월드로 만나는 포켓몬 대모험! :: [포켓몬스터 스칼렛 바이올렛],191180
286,포켓몬은 가면 갈수록 왜 이러냐? [ 포켓몬스터 스칼렛 리뷰 ],190461
167,[포켓몬 스칼렛 바이올렛] 스토리 진행 추천 순서와 공략 팁 [포켓챙],188839
140,다이아손도 실패한 말도 안 되는 카드팩?! 스칼렛 바이올렛 카드깡 대실패했습니다..,188524
110,포켓몬 스칼렛 바이올렛에서 돈 쉽고 빠르게 버는 방법,179593
475,기대안했는데..?! 신작 떴다?! 포켓몬 스칼렛 바이올렛! [포켓몬 프레젠트],179339
466,자고 나면 700만? 포켓몬스터 SV 쉽고 편하게 돈 버는 법! [포켓몬스터 스칼렛 바이올렛],176399
250,😨 포켓몬스터 스칼렛&바이올렛 | 심플한 영상 리뷰,171813
125,미모사 SR 뽑은거 실화? 신상 포켓몬카드 스칼렛 바이올렛 ex 첫 박스에서?,170504
164,포켓몬 스칼렛 바이올렛 각 버전별 등장 포켓몬! 어떤 버전 살지 미리 정해보자! [Pokemon Scarlet Violet],170475
96,스칼렛/바이올렛 이스터 에그 TOP 10 - [전자오랏맨],169908
321,"[공식]「포켓몬스터스칼렛・바이올렛」 소개 영상 ""팔데아지방 모험 가이드""",163271
178,현재와 미래의 만남 :: [포켓몬스터 바이올렛],162717
369,"[23화] 최종결전! 코라이돈, 대지에 서다! [포켓몬스터 스칼렛]",161096
306,이로치 팔데아 도감 1번~100번 리뷰! (포켓몬스터 스칼렛/바이올렛 버전)- [전자오랏맨],158674
95,포켓몬카드 카드깡 대결! 진짜 금손을 찾아라! 진검승부~ㅣ 9세대 포켓몬 스칼렛 & 바이올렛 VSTAR 유니버스 VMAX 클라이맥스,155295
190,비밀통로를 이용하면 파라블레이즈를 바로 얻을수 있다고?| | 포켓몬스터 스칼렛 바이올렛 3탄,154743
497,꼰대의 메가 뮤츠Y vs 놀부의 메가 뮤츠X의 3:3 로테이션 배틀! 과연 그 승자는? (꼰&잼)- [전자오랏맨],153352
152,브수니 드디어 첫 체육관 뱃지 달다? 풀포켓몬 관장 뚜드러 패러 간다~!,152131
298,테라스탈 레이드 가려면 얘네는 키워보자! [포켓몬스터 스칼렛・바이올렛 테라스탈 레이드 포켓몬 5종 추천 및 샘플소개],151392
168,포켓몬스터 스칼렛 바이올렛 vs 레전드 아르세우스 시간의 포효 이펙트 비교(풀버전 고정댓글) #shorts,149871
138,[포켓몬스터 스칼렛·바이올렛] 역대급으로 귀여운 포켓몬들이 나오는 게임🤣 (※시간순삭) (Pokémon Scarlet and Violet),149203
303,"[포켓몬 스칼렛/바이올렛] 가장 빨리 카르본을 구하고 진화시키는 방법!! (카디나르마, 파라블레이즈)",147742
483,모든 600족 포획 위치 & 얻는법 총정리!! 새로운 포켓몬도 등장?! [포켓몬스터 스칼렛 바이올렛] (딥상어동 에버라스 미끄메라 드라꼰 모노두 드니차 미뇽 아공이),145357
220,포켓몬스터 스칼렛/바이올렛 버전 새로운 기술 총정리 - [전자오랏맨],139360
309,[1화] 나오하! 너로 정했다! [포켓몬스터 스칼렛],137782
251,이번 포켓몬 스타팅 뭐 하지ㅋㅋㅋ 「포켓몬스터 스칼렛・바이올렛 #1」,137782
3,포켓몬스터 스칼렛/바이올렛 DLC 제로의 비보 새로운 추가 정보 총정리! - [전자오랏맨],136188
412,개굴닌자 7성 레이드 혼자 쉽게잡는법 「포켓몬스터스칼렛・바이올렛」,136176
438,핵사기 성능 포켓몬 3마리 추천!! [포켓몬스터 스칼렛바이올렛],135793
183,「포켓몬스터스칼렛・바이올렛」 소개 영상,134799
156,포켓몬 스칼렛 바이올렛 첫 배틀에서 지면 생기는 일,133175
318,"중요한건 꺾이지 않는 마음! ""이로치 스타팅"" 얻는 방법! [ 포켓몬 스칼렛 바이올렛 / Pokémon scarlet violet ]",132929
568,아내한테 레고로 푸바오 만들어주면 생기는일,132729
348,이런 내용이 정말 포켓몬스터...? :: [포켓몬스터 스칼렛 바이올렛],131536
422,9세대 실전배틀 사기 포켓몬 TOP 10 (시즌1 기준) [포켓몬스터 스칼렛 바이올렛],128703
305,포켓몬 9세대 2차 트레일러 공개! 그런데 어라...? :: [포켓몬스터 스칼렛 바이올렛],128550
317,최강의 리자몽 7성 레이드? 벌써 리자몽 이로치까지 뽑아버린 태경 ㄷㄷ (포켓몬스터 스칼렛 바이올렛),126131
165,포켓몬스터 스칼렛 바이올렛 21가지 공략 및 꿀팁 완전판,125933
352,왕의 성을 무너트린 9세대 준전설 4마리 포획법,123466
359,포켓몬 레벨 빨리 올리는법🆙 한시간 5십만 경험치 대량 파밍! 포켓몬 스칼렛 바이올렛,120696
417,스칼렛 바이올렛 DLC 떡밥 & 세번째 전설 포켓몬 정체를 파헤쳐보자!,120515
264,[포켓몬스터 바이올렛 #35] 하늘색 사당의 봉인된 금붕어가 재앙???,119344
293,레이드만 100시간한 유저가 알려주는 6성 레이드 솔플 공략 강의 영상 [포켓몬스터 스칼렛 바이올렛],118648
355,9세대 포켓몬과 함께! 즐거운 포켓몬 학교생활 시작! 【포켓몬스터 스칼렛·바이올렛】 1화 풀버전,116900
294,카메라만 켜서 이로치 얻는 방법(레시피포함),116566
325,과거폼 미래폼 패러독스 이로치는 어떻게 잡을까? l 포켓몬스터 스칼렛 바이올렛 이로치 뽑는 방법,116294
326,돌핀맨 저승갓숭 대도각참 진화하는 법 l 포켓몬스터 스칼렛 바이올렛 특수 진화 방법,114847
351,이로치 잘 나오는 장소가 있다?!,114292
196,포켓몬에서 미라이돈으로 부스터 사용하기 「포켓몬 스칼렛 바이올렛」,114291
449,인기 포켓몬 위치 / 포켓몬스터 스칼렛 바이올렛,112847
